"Source:","/home/barnacle/Projects/Cisc-8/Old/cisc-8 new/cisc-8.sch"
"Date:","Fri 28 Jun 2019 20:37:52 BST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","311"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1603","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1604","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1605","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1701","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1702","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1703","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1704","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1705","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1706","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1707","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1708","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1801","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1802","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1803","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1804","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1805","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1806","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1901","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
